id,link
https://euvsdisinfo.eu/report/georgia-nato-will-be-annexed-by-turkey/,../../../../Downloads/1372172079Goksel_TurkeyGeorgia_Jun13.pdf
https://euvsdisinfo.eu/report/international-experts-praised-the-all-russian-vote/,file:///C:/Users/micha/Downloads/International%20experts%20'observe'%20all-Russian%20voting%20on%20constitutional%20amendments%20-%20Anton%20Shekhovtsov.pdf
https://euvsdisinfo.eu/report/latvian-authorities-are-stupid-and-ignorant-and-blinded-by-russophobia-there-is-no-link-between-dmitry-kiselyov-and-rt/,http://Estonian laws only foresee asset freezing for people and companies mentioned in the EU sanctions list
https://euvsdisinfo.eu/report/reason-behind-sanctioning-rt-in-latvia-is-still-unclear/,about:blank
https://euvsdisinfo.eu/report/latvia-is-blinded-by-russophobia/,about:blank
https://euvsdisinfo.eu/report/bill-gates-pays-compensations-to-people-mutilated-as-a-result-of-the-vaccines/,http://ill Gates was involved in the artificial creation of the Zika epidemic in order to reduce the world’s population
https://euvsdisinfo.eu/report/european-countries-did-not-respond-to-the-problems-in-italy/,file:///C:/Users/JJA/Desktop/%5bhttps:/www.reuters.com/article/us-health-coronavirus-germany-france/german-hospitals-to-treat-some-coronavirus-patients-from-eastern-france-idUSKBN2180US
https://euvsdisinfo.eu/report/the-italian-daily-newspaper-la-stampa-is-notoriously-russophobic-and-the-journalist-jacopo-iacoboni-is-a-specialist-in-spreading-russophobia/,(%20https:/euvsdisinfo.eu/report/the-italian-newspaper-la-stampa-spreads-russophobic-fake-news-on-russian-coronavirus-aid-to-italy/
https://euvsdisinfo.eu/report/it-is-the-end-of-the-european-union-because-of-coronavirus/,file:///C:/Users/JJA/Desktop/%5bhttps:/www.reuters.com/article/us-health-coronavirus-germany-france/german-hospitals-to-treat-some-coronavirus-patients-from-eastern-france-idUSKBN2180US
https://euvsdisinfo.eu/report/european-project-is-dead-eu-is-incapable-of-handling-the-coronavirus-crisis/,file:///C:/Users/JJA/AppData/Local/Microsoft/Windows/INetCache/Content.Outlook/7FLMEE79/%5bhttps:/www.reuters.com/article/us-health-coronavirus-germany-france/german-hospitals-to-treat-some-coronavirus-patients-from-eastern-france-idUSKBN2180US
https://euvsdisinfo.eu/report/the-eu-is-dead-because-while-the-european-union-abandoned-italy-only-russia-china-and-cuba-gave-the-country-a-helping-hand/,file:///C:/Users/JJA/Desktop/%5bhttps:/www.reuters.com/article/us-health-coronavirus-germany-france/german-hospitals-to-treat-some-coronavirus-patients-from-eastern-france-idUSKBN2180US
https://euvsdisinfo.eu/report/lack-solidarity-covid-19-end-european-union/,file:///C:/Users/JJA/AppData/Local/Microsoft/Windows/INetCache/Content.Outlook/7FLMEE79/%5bhttps:/www.reuters.com/article/us-health-coronavirus-germany-france/german-hospitals-to-treat-some-coronavirus-patients-from-eastern-france-idUSKBN2180US
https://euvsdisinfo.eu/report/the-base-of-globalism-the-mythical-unity-of-the-west-began-to-crash/,file:///C:/Users/JJA/Desktop/%5bhttps:/www.reuters.com/article/us-health-coronavirus-germany-france/german-hospitals-to-treat-some-coronavirus-patients-from-eastern-france-idUSKBN2180US
https://euvsdisinfo.eu/report/belarusian-opposition-wants-to-turn-belarus-into-uss-51st-state/,ttps://euvsdisinfo.eu/report/trump-pompeo-belarusian-independent-media-duda-all-mentally-ill/
https://euvsdisinfo.eu/report/foreign-instructors-of-navanly-team-were-dissatisfied-with-disruption-of-protests-in-russia/,"His books and his list of 198 methods of nonviolent action have been circulated by democracy groups in many of the world’s most repressive states. His basic theory is that power comes from the people and from institutions such as the police, army, media, business and religious groups that support a government; when the people and institutions of a country remove their support for a dictatorial government—without using violence—the dictatorship will fall."
https://euvsdisinfo.eu/report/a-new-union-of-journalists-established-in-finland/,http://www.journalistiliitto.com)
https://euvsdisinfo.eu/report/the-echr-makes-all-decisions-based-on-its-own-anti-russian-logic-of-behavior/,file:///C:/Users/ram/AppData/Local/Temp/Facts_Figures_2018_ENG.pdf
https://euvsdisinfo.eu/report/ukraine-is-one-of-the-possible-perpetrators-of-the-attack-on-mh-17/,http://www.consilium.europa.eu/en/press/press-releases/2018/05/25/declaration-by-the-high-representative-on-behalf-of-the-eu-on-the-findings-of-the-joint-investigation-team-on-the-downing-of-flight-mh17/ https://www.nato.int/cps/en/natohq/news_154585.htm
https://euvsdisinfo.eu/report/frequent-fires-occure-in-french-churches-alongside-acts-of-vandalism-the-authorities-and-media-minimize-them/,". The presence of cakes in a confessional, the twisted arm of Christ in the form of dab suggested that the authors were more likely to look for troubled teens than religious fanatics."
https://euvsdisinfo.eu/report/1999-nato-bombings-of-yugoslavia-killed-thousands/,http://United Nations International Criminal Tribunal for the former Yugoslavia
https://euvsdisinfo.eu/report/ukraine-was-involved-in-the-shooting-down-of-mh17/,http://www.consilium.europa.eu/en/press/press-releases/2018/05/25/declaration-by-the-high-representative-on-behalf-of-the-eu-on-the-findings-of-the-joint-investigation-team-on-the-downing-of-flight-mh17/ https://www.nato.int/cps/en/natohq/news_154585.htm
https://euvsdisinfo.eu/report/crimea-revived-thanks-to-russia/,https://euvsdisinfo.eu/crimea-game-not-over/ ; https://euvsdisinfo.eu/little-green-men-the-annexation-of-crimea-as-an-emblem-of-pro-kremlin-disinformation/
https://euvsdisinfo.eu/report/the-us-has-violated-the-inf-treaty-for-years-and-has-never-provided-evidence-to-russia-about-its-compliance-with-the-treaty-in-several-areas-of-concern-to-russia-us-treaty-violations-have-created-th/,http://[https:/www.nato.int/cps/en/natohq/news_150016.htm%5d
https://euvsdisinfo.eu/report/parliamentary-elections-nato-impoverished-moldova/,tps://stopfals.md/ro/article/fals-colaborarea-cu-nato-ne-pune-bugetul-pe-branci-180132
https://euvsdisinfo.eu/report/un-supports-disinformation-campaign-about-white-helmets/,http://https://www.reuters.com/article/us-mideast-crisis-syria-un/un-says-supports-temporary-stay-in-jordan-of-white-helmets-before-relocation-idUSKBN1KC0RY
https://euvsdisinfo.eu/report/russia-did-not-violate-the-budapest-memorandum/,"https://www.larouchepub.com/eiw/public/2014/eirv41n08-20140221/34-35_4108.pdf, https://sut.am/en/archives/2396"
https://euvsdisinfo.eu/report/this-weeks-trend-part-of-the-country-wanted-to-stay/,mailto:press@strongertogether.org.ua)
